speciesCode,comName,sciName
hoocro1,Hooded Crow,Corvus cornix
bohwax,Bohemian Waxwing,Bombycilla garrulus
eutspa,Eurasian Tree Sparrow,Passer montanus
houspa,House Sparrow,Passer domesticus
gretit1,Great Tit,Parus major
eurmag1,Eurasian Magpie,Pica pica
carcro1,Carrion Crow,Corvus corone
azutit2,Azure Tit,Cyanistes cyanus
eurbla,Eurasian Blackbird,Turdus merula
eurgol,European Goldfinch,Carduelis carduelis
comcha,Common Chaffinch,Fringilla coelebs
datthr1,Black-throated Thrush,Turdus atrogularis
rocpig,Rock Pigeon,Columba livia
commyn,Common Myna,Acridotheres tristis
turdus1,Turdus sp.,Turdus sp.
brambl,Brambling,Fringilla montifringilla
whoswa,Whooper Swan,Cygnus cygnus
mutswa,Mute Swan,Cygnus olor
skylar,Eurasian Skylark,Alauda arvensis
lotros1,Long-tailed Rosefinch,Carpodacus sibiricus
bearee1,Bearded Reedling,Panurus biarmicus
euptit1,Eurasian Penduline-Tit,Remiz pendulinus
norhar1,Hen Harrier,Circus cyaneus
fieldf,Fieldfare,Turdus pilaris
mallar3,Mallard,Anas platyrhynchos
rinphe,Ring-necked Pheasant,Phasianus colchicus
rook1,Rook,Corvus frugilegus
eurgre1,European Greenfinch,Chloris chloris
eucdov,Eurasian Collared-Dove,Streptopelia decaocto
eurjac,Eurasian Jackdaw,Corvus monedula
eurkes,Eurasian Kestrel,Falco tinnunculus
eurspa1,Eurasian Sparrowhawk,Accipiter nisus
crelar2,Crested Lark,Galerida cristata
eurrob1,European Robin,Erithacus rubecula
norgos,Northern Goshawk,Accipiter gentilis
hawfin,Hawfinch,Coccothraustes coccothraustes
misthr1,Mistle Thrush,Turdus viscivorus
eurlin1,Eurasian Linnet,Linaria cannabina
lottit1,Long-tailed Tit,Aegithalos caudatus
mewgul,Mew Gull,Larus canus
reebun,Reed Bunting,Emberiza schoeniclus
compoc,Common Pochard,Aythya ferina
whiwag,White Wagtail,Motacilla alba
blutit,Eurasian Blue Tit,Cyanistes caeruleus
rubred2,Rufous-backed Redstart,Phoenicurus erythronotus
litgre1,Little Grebe,Tachybaptus ruficollis
whwwoo1,White-winged Woodpecker,Dendrocopos leucopterus
grypar,Gray Partridge,Perdix perdix
eurnut1,Eurasian Nutcracker,Nucifraga caryocatactes
y00764,House/Eurasian Tree Sparrow,Passer domesticus/montanus
chukar,Chukar,Alectoris chukar
comred,Common Redpoll,Acanthis flammea
merlin,Merlin,Falco columbarius
corbun1,Corn Bunting,Emberiza calandra
horlar,Horned Lark,Eremophila alpestris
whteag,White-tailed Eagle,Haliaeetus albicilla
